LineItemID,OrderID,ItemID,Qty,DiscountID,Date,LocationID
1,1,20,1,D3,2017-02-23 00:00:00,L01
2,1,2,1,,2017-02-23 00:00:00,L01
3,1,53,1,,2017-02-23 00:00:00,L01
4,2,18,1,,2017-01-03 00:00:00,L01
5,2,41,1,,2017-01-03 00:00:00,L01
6,3,4,1,,2017-01-04 00:00:00,L01
7,3,17,1,,2017-01-04 00:00:00,L01
8,3,32,1,,2017-01-04 00:00:00,L01
9,3,41,1,D2,2017-01-04 00:00:00,L01
10,4,15,1,,2017-01-19 00:00:00,L01
11,4,48,1,,2017-01-19 00:00:00,L01
12,5,5,1,,2017-02-20 00:00:00,L01
13,5,28,1,,2017-02-20 00:00:00,L01
14,6,17,1,,2017-01-18 00:00:00,L01
15,6,10,1,,2017-01-18 00:00:00,L01
16,6,12,1,,2017-01-18 00:00:00,L01
17,6,21,1,,2017-01-18 00:00:00,L01
18,6,39,1,,2017-01-18 00:00:00,L01
19,6,43,1,,2017-01-18 00:00:00,L01
20,7,10,1,,2017-02-08 00:00:00,L01
21,7,14,1,,2017-02-08 00:00:00,L01
22,7,42,1,,2017-02-08 00:00:00,L01
23,7,39,1,,2017-02-08 00:00:00,L01
24,7,52,1,D1,2017-02-08 00:00:00,L01
25,8,12,1,,2017-01-25 00:00:00,L01
26,8,34,1,,2017-01-25 00:00:00,L01
27,8,46,1,,2017-01-25 00:00:00,L01
28,9,1,1,,2017-02-20 00:00:00,L01
29,9,22,1,,2017-02-20 00:00:00,L01
30,9,28,1,,2017-02-20 00:00:00,L01
31,10,11,1,,2017-02-15 00:00:00,L01
32,10,32,1,,2017-02-15 00:00:00,L01
33,10,38,1,,2017-02-15 00:00:00,L01
34,11,17,1,,2017-01-31 00:00:00,L01
35,11,10,1,,2017-01-31 00:00:00,L01
36,11,36,1,,2017-01-31 00:00:00,L01
37,12,14,1,,2017-01-09 00:00:00,L01
38,12,41,1,,2017-01-09 00:00:00,L01
39,13,19,1,,2017-01-30 00:00:00,L01
40,13,36,1,,2017-01-30 00:00:00,L01
41,14,13,1,,2017-01-23 00:00:00,L01
42,14,37,1,D3,2017-01-23 00:00:00,L01
43,15,10,1,,2017-02-12 00:00:00,L01
44,15,38,1,,2017-02-12 00:00:00,L01
45,16,17,1,,2017-02-04 00:00:00,L01
46,16,44,1,,2017-02-04 00:00:00,L01
47,16,37,1,,2017-02-04 00:00:00,L01
48,17,21,1,,2017-01-09 00:00:00,L01
49,17,11,1,,2017-01-09 00:00:00,L01
50,17,47,1,,2017-01-09 00:00:00,L01
51,18,13,1,,2017-02-27 00:00:00,L01
52,18,8,1,,2017-02-27 00:00:00,L01
53,18,28,1,,2017-02-27 00:00:00,L01
54,19,15,1,,2017-01-14 00:00:00,L01
55,19,16,1,,2017-01-14 00:00:00,L01
56,19,50,1,,2017-01-14 00:00:00,L01
57,19,22,1,,2017-01-14 00:00:00,L01
58,19,49,1,,2017-01-14 00:00:00,L01
59,20,3,1,,2017-01-20 00:00:00,L01
60,20,43,1,,2017-01-20 00:00:00,L01
61,20,35,1,,2017-01-20 00:00:00,L01
62,21,17,1,D1,2017-01-17 00:00:00,L01
63,21,2,1,,2017-01-17 00:00:00,L01
64,21,25,1,,2017-01-17 00:00:00,L01
65,21,25,1,,2017-01-17 00:00:00,L01
66,22,1,1,,2017-02-11 00:00:00,L01
67,22,29,1,,2017-02-11 00:00:00,L01
68,22,47,1,,2017-02-11 00:00:00,L01
69,23,9,1,,2017-02-07 00:00:00,L01
70,23,32,1,,2017-02-07 00:00:00,L01
71,23,38,1,,2017-02-07 00:00:00,L01
72,23,36,1,,2017-02-07 00:00:00,L01
73,24,13,1,,2017-02-04 00:00:00,L01
74,24,5,1,,2017-02-04 00:00:00,L01
75,24,19,1,D1,2017-02-04 00:00:00,L01
76,24,27,1,,2017-02-04 00:00:00,L01
77,25,16,1,,2017-02-10 00:00:00,L01
78,25,44,1,,2017-02-10 00:00:00,L01
79,26,8,1,,2017-02-03 00:00:00,L01
80,26,37,1,,2017-02-03 00:00:00,L01
81,26,25,1,,2017-02-03 00:00:00,L01
82,27,5,1,,2017-02-06 00:00:00,L01
83,27,23,1,,2017-02-06 00:00:00,L01
84,28,4,1,,2017-02-10 00:00:00,L01
85,28,4,1,,2017-02-10 00:00:00,L01
86,28,20,1,,2017-02-10 00:00:00,L01
87,28,50,1,,2017-02-10 00:00:00,L01
88,29,20,1,,2017-02-14 00:00:00,L01
89,29,4,1,,2017-02-14 00:00:00,L01
90,29,25,1,,2017-02-14 00:00:00,L01
91,30,2,1,,2017-01-20 00:00:00,L01
92,30,21,1,,2017-01-20 00:00:00,L01
93,30,23,1,,2017-01-20 00:00:00,L01
94,31,5,1,,2017-02-02 00:00:00,L01
95,31,45,1,,2017-02-02 00:00:00,L01
96,31,36,1,,2017-02-02 00:00:00,L01
97,31,47,1,,2017-02-02 00:00:00,L01
98,32,5,1,,2017-02-22 00:00:00,L01
99,32,41,1,,2017-02-22 00:00:00,L01
100,32,36,1,,2017-02-22 00:00:00,L01
101,32,30,1,,2017-02-22 00:00:00,L01
102,33,12,1,,2017-01-02 00:00:00,L01
103,33,32,1,,2017-01-02 00:00:00,L01
104,33,26,1,,2017-01-02 00:00:00,L01
105,33,37,1,,2017-01-02 00:00:00,L01
106,34,6,1,,2017-01-21 00:00:00,L01
107,34,38,1,,2017-01-21 00:00:00,L01
108,35,12,1,,2017-02-09 00:00:00,L01
109,35,4,1,,2017-02-09 00:00:00,L01
110,35,3,1,,2017-02-09 00:00:00,L01
111,35,29,1,,2017-02-09 00:00:00,L01
112,35,51,1,,2017-02-09 00:00:00,L01
113,36,18,1,,2017-02-13 00:00:00,L01
114,36,26,1,,2017-02-13 00:00:00,L01
115,37,21,1,,2017-02-09 00:00:00,L01
116,37,51,1,,2017-02-09 00:00:00,L01
117,37,34,1,,2017-02-09 00:00:00,L01
118,38,20,1,,2017-01-17 00:00:00,L01
119,38,42,1,,2017-01-17 00:00:00,L01
120,39,16,1,,2017-01-28 00:00:00,L01
121,39,48,1,,2017-01-28 00:00:00,L01
122,39,44,1,,2017-01-28 00:00:00,L01
123,40,19,1,,2017-01-13 00:00:00,L01
124,40,18,1,,2017-01-13 00:00:00,L01
125,40,34,1,,2017-01-13 00:00:00,L01
126,41,17,1,,2017-02-10 00:00:00,L01
127,41,50,1,,2017-02-10 00:00:00,L01
128,41,27,1,,2017-02-10 00:00:00,L01
129,42,12,1,,2017-02-13 00:00:00,L01
130,42,21,1,,2017-02-13 00:00:00,L01
131,42,46,1,,2017-02-13 00:00:00,L01
132,42,32,1,,2017-02-13 00:00:00,L01
133,42,24,1,,2017-02-13 00:00:00,L01
134,43,19,1,,2017-01-05 00:00:00,L01
135,43,53,1,,2017-01-05 00:00:00,L01
136,43,29,1,,2017-01-05 00:00:00,L01
137,43,49,1,,2017-01-05 00:00:00,L01
138,44,11,1,,2017-01-21 00:00:00,L01
139,44,6,1,D1,2017-01-21 00:00:00,L01
140,44,18,1,,2017-01-21 00:00:00,L01
141,44,45,1,,2017-01-21 00:00:00,L01
142,45,20,1,,2017-02-26 00:00:00,L01
143,45,1,1,,2017-02-26 00:00:00,L01
144,45,8,1,,2017-02-26 00:00:00,L01
145,45,27,1,,2017-02-26 00:00:00,L01
146,45,27,1,,2017-02-26 00:00:00,L01
147,45,29,1,D1,2017-02-26 00:00:00,L01
148,46,7,1,,2017-01-15 00:00:00,L01
149,46,42,1,,2017-01-15 00:00:00,L01
150,47,5,1,,2017-02-03 00:00:00,L01
151,47,35,1,,2017-02-03 00:00:00,L01
152,47,42,1,,2017-02-03 00:00:00,L01
153,48,9,1,,2017-01-24 00:00:00,L01
154,48,1,1,,2017-01-24 00:00:00,L01
155,48,40,1,D1,2017-01-24 00:00:00,L01
156,49,15,1,,2017-01-22 00:00:00,L01
157,49,47,1,,2017-01-22 00:00:00,L01
158,49,29,1,,2017-01-22 00:00:00,L01
159,49,49,1,,2017-01-22 00:00:00,L01
160,50,13,1,,2017-02-15 00:00:00,L01
161,50,46,1,,2017-02-15 00:00:00,L01
