Date,Rating,Platform
8/18/2018,8,Facebook
7/27/2018,8,Yelp
2/6/2018,7,Yelp
5/31/2018,9,Facebook
3/19/2018,10,Facebook
11/1/2018,8,Yelp
10/5/2018,9,Yelp
10/5/2018,9,Google
3/27/2018,10,Yelp
7/28/2018,9,Google
4/4/2018,7,Yelp
6/5/2018,8,Google
12/26/2018,6,Google
4/29/2018,7,Google
2/17/2018,8,Google
5/23/2018,6,Facebook
10/4/2018,9,Google
10/9/2018,9,Google
9/1/2018,8,Yelp
1/27/2018,10,Google
4/13/2018,10,Google
8/8/2018,8,Google
9/18/2018,10,Facebook
7/20/2018,8,Google
12/2/2018,9,Google
2/20/2018,10,Facebook
4/8/2018,7,Google
4/9/2018,7,Facebook
9/2/2018,9,Facebook
3/27/2018,7,Yelp
12/28/2018,9,Google
11/24/2018,8,Google
3/20/2018,6,Yelp
3/8/2018,6,Yelp
10/5/2018,9,Yelp
5/24/2018,8,Yelp
4/16/2018,10,Yelp
11/9/2018,9,Yelp
12/19/2018,8,Google
11/21/2018,7,Facebook
4/24/2018,8,Facebook
5/9/2018,8,Facebook
5/14/2018,7,Google
1/7/2018,9,Facebook
7/13/2018,9,Yelp
11/19/2018,7,Yelp
10/12/2018,10,Google
3/5/2018,9,Facebook
8/25/2018,8,Google
4/5/2018,10,Yelp
5/26/2018,8,Facebook
7/30/2018,6,Yelp
5/3/2018,7,Google
10/11/2018,8,Google
5/17/2018,9,Yelp
12/1/2018,10,Facebook
10/17/2018,9,Facebook
2/3/2018,6,Google
11/11/2018,6,Google
10/7/2018,9,Facebook
8/26/2018,10,Facebook
4/19/2018,10,Yelp
6/4/2018,8,Yelp
6/16/2018,8,Google
9/13/2018,6,Yelp
10/5/2018,10,Google
11/25/2018,6,Facebook
8/17/2018,6,Google
3/1/2018,10,Google
5/4/2018,9,Google
2/21/2018,8,Yelp
1/31/2018,10,Yelp
9/13/2018,8,Google
5/25/2018,8,Facebook
1/2/2018,8,Google
6/2/2018,8,Google
1/9/2018,9,Google
10/2/2018,6,Facebook
3/28/2018,8,Yelp
6/17/2018,7,Facebook
11/24/2018,8,Facebook
2/27/2018,8,Google
8/4/2018,8,Google
4/10/2018,10,Yelp
11/20/2018,9,Yelp
8/20/2018,9,Yelp
7/24/2018,6,Google
3/23/2018,8,Google
4/26/2018,6,Google
5/4/2018,8,Facebook
6/29/2018,7,Google
6/29/2018,9,Google
7/4/2018,10,Google
11/27/2018,10,Yelp
1/6/2018,7,Google
12/4/2018,8,Yelp
12/26/2018,10,Yelp
12/27/2018,7,Yelp
4/22/2018,9,Google
10/25/2018,8,Google
10/7/2018,6,Yelp
10/17/2018,7,Facebook
9/26/2018,8,Google
11/13/2018,8,Google
4/28/2018,10,Google
3/9/2018,7,Facebook
6/12/2018,7,Google
10/6/2018,9,Facebook
8/30/2018,6,Yelp
2/8/2018,10,Yelp
5/17/2018,7,Google
12/4/2018,8,Facebook
11/20/2018,9,Yelp
7/1/2018,10,Yelp
8/25/2018,6,Google
11/29/2018,9,Google
1/25/2018,9,Google
4/20/2018,6,Facebook
7/21/2018,8,Google
9/1/2018,10,Facebook
9/7/2018,7,Yelp
5/19/2018,9,Facebook
